,date,team_a,team_b,team_a_score,team_b_score,tournament,team_a_rating,team_b_rating,team_a_rank,team_b_rank
0,1941-08-24,AF,IR,1,0,IND,929,1571,96.0,45.0
1,1948-06-03,IN,AF,4,0,F,1658,929,32.0,106.0
2,1948-07-26,LU,AF,6,0,OG,1307,915,84.0,107.0
3,1949-10-26,IR,AF,4,0,F,1571,915,44.0,112.0
4,1951-03-07,IN,AF,3,0,ASG,1669,914,29.0,114.0
5,1951-03-09,JP,AF,2,0,ASG,1302,908,91.0,114.0
6,1954-05-04,KR,AF,8,2,ASG,1702,907,24.0,133.0
7,1954-05-06,HK,AF,4,2,ASG,1440,904,78.0,133.0
8,1959-08-27,AF,IN,2,5,OQ,900,1519,143.0,63.0
9,1975-11-21,SA,AF,2,0,SQ,1373,896,101.0,171.0
10,1975-11-23,IQ,AF,3,1,SQ,1551,895,55.0,171.0
11,1975-11-25,QA,AF,2,1,SQ,1035,882,158.0,173.0
12,1975-11-28,SA,AF,6,0,SQ,1356,877,106.0,173.0
13,1975-11-30,IQ,AF,4,0,SQ,1540,876,58.0,173.0
14,1975-12-02,AF,QA,1,1,SQ,884,1020,173.0,159.0
15,1976-07-19,AF,PK,1,0,RDC,909,1260,171.0,122.0
16,1976-07-24,AF,IN,1,1,RDC,920,1324,168.0,111.0
17,1976-10-12,PK,AF,1,0,GLT,1265,918,121.0,168.0
18,1977-07-24,AF,IN,0,3,RDC,907,1266,172.0,120.0
19,1979-03-01,BD,AF,2,2,SQ,983,917,164.0,169.0
20,1979-03-02,QA,AF,3,0,SQ,1119,899,145.0,173.0
21,1979-03-05,BD,AF,3,2,SQ,995,889,164.0,174.0
22,1979-03-06,QA,AF,3,0,SQ,1132,874,144.0,175.0
23,1984-02-17,KW,AF,1,0,F,1617,874,42.0,178.0
24,1984-02-19,KW,AF,2,0,F,1617,874,42.0,178.0
25,1984-09-10,QA,AF,8,0,SQ,1524,872,62.0,177.0
26,1984-09-12,CN,AF,6,0,SQ,1578,871,52.0,177.0
27,1984-09-15,AF,HK,0,0,SQ,887,1257,176.0,125.0
28,1984-09-20,JO,AF,6,1,SQ,1146,871,146.0,177.0
29,2003-01-10,LK,AF,1,0,SFF,936,854,192.0,204.0
30,2003-01-12,IN,AF,4,0,SFF,1113,839,167.0,207.0
31,2003-01-14,PK,AF,1,0,SFF,869,820,201.0,207.0
32,2003-03-16,AF,KG,2,1,SQ,855,1134,203.0,164.0
33,2003-03-18,NP,AF,4,0,SQ,889,829,199.0,207.0
34,2003-11-19,TM,AF,11,0,WQ,1460,827,89.0,207.0
35,2003-11-23,AF,TM,0,2,WQ,824,1463,207.0,89.0
36,2005-11-09,TJ,AF,4,0,FRC,1350,822,112.0,207.0
37,2005-12-07,MV,AF,9,1,SFF,1022,796,185.0,207.0
38,2005-12-09,PK,AF,1,0,SFF,908,787,196.0,207.0
39,2005-12-11,AF,LK,2,1,SFF,815,914,207.0,195.0
40,2006-04-01,IN,AF,2,0,ACH,1148,807,166.0,207.0
41,2006-04-03,AF,TW,2,2,ACH,816,967,206.0,191.0
42,2006-04-05,AF,PH,1,1,ACH,810,714,206.0,214.0
43,2007-10-08,SY,AF,3,0,WQ,1473,809,88.0,205.0
44,2007-10-26,SY,AF,2,1,WQ,1474,808,88.0,205.0
45,2008-05-05,AF,BD,0,0,SCQ,817,964,206.0,190.0
46,2008-05-07,KG,AF,0,1,SCQ,1154,855,167.0,204.0
47,2008-06-04,LK,AF,2,2,SFF,992,867,187.0,203.0
48,2008-06-06,AF,BD,2,2,SFF,871,938,203.0,193.0
49,2008-06-08,BT,AF,3,1,SFF,655,822,222.0,206.0
50,2008-07-30,IN,AF,1,0,SQC,1151,819,168.0,206.0
51,2008-08-01,TM,AF,5,0,SQC,1318,815,125.0,207.0
52,2008-08-03,TJ,AF,4,0,SQC,1299,811,127.0,207.0
53,2008-10-17,AF,NP,2,2,MRD,816,933,207.0,191.0
54,2008-10-20,MY,AF,6,0,MRD,1174,812,163.0,207.0
55,2009-12-05,IN,AF,1,0,SFF,1230,809,148.0,207.0
56,2009-12-07,MV,AF,3,1,SFF,1098,799,177.0,207.0
57,2009-12-09,NP,AF,3,0,SFF,976,779,187.0,209.0
58,2010-11-17,TJ,AF,1,0,F,1284,778,136.0,210.0
59,2011-03-23,AF,BT,3,0,SCQ,796,582,208.0,227.0
60,2011-03-25,AF,BT,2,0,SCQ,810,568,207.0,229.0
61,2011-04-07,NP,AF,1,0,SCQ,985,803,189.0,208.0
62,2011-04-09,AF,LK,1,0,SCQ,830,910,205.0,195.0
63,2011-04-11,KP,AF,2,0,SCQ,1497,829,90.0,205.0
64,2011-06-29,PS,AF,2,0,WQ,1219,823,155.0,207.0
65,2011-07-03,PS,AF,1,1,WQ,1201,841,158.0,205.0
66,2011-12-03,IN,AF,1,1,SFF,1170,858,162.0,204.0
67,2011-12-05,AF,LK,3,1,SFF,892,874,200.0,203.0
68,2011-12-07,AF,BT,8,1,SFF,903,547,198.0,230.0
69,2011-12-09,AF,NP,1,0,SFF,929,976,194.0,189.0
70,2011-12-11,IN,AF,4,0,SFF,1203,921,154.0,196.0
71,2013-03-02,AF,LK,1,0,SCQ,938,848,196.0,208.0
72,2013-03-04,AF,MN,1,0,SCQ,952,816,195.0,209.0
73,2013-03-06,LA,AF,1,1,SCQ,871,953,205.0,195.0
74,2013-06-04,TJ,AF,3,2,F,1238,951,145.0,195.0
75,2013-08-20,AF,PK,3,0,F,963,924,193.0,198.0
76,2013-09-02,AF,BT,3,0,SFF,969,541,191.0,236.0
77,2013-09-04,AF,LK,3,1,SFF,988,823,191.0,208.0
78,2013-09-06,AF,MV,0,0,SFF,996,1135,189.0,174.0
79,2013-09-08,NP,AF,0,1,SFF,917,1018,200.0,186.0
80,2013-09-11,AF,IN,2,0,SFF,1056,1079,183.0,181.0
81,2014-04-13,AF,KG,0,0,F,1058,1134,182.0,171.0
82,2014-05-04,TJ,AF,1,0,F,1267,1055,140.0,184.0
83,2014-05-12,AF,KG,1,0,F,1067,1122,182.0,174.0
84,2014-05-14,KW,AF,3,2,F,1526,1066,77.0,182.0
85,2014-05-20,AF,PH,0,0,SQC,1073,1192,181.0,161.0
86,2014-05-22,AF,TM,3,1,SQC,1123,1308,174.0,131.0
87,2014-05-24,AF,LA,0,0,SQC,1110,855,176.0,205.0
88,2014-05-27,PS,AF,2,0,SQC,1344,1097,125.0,178.0
89,2014-05-29,MV,AF,1,1,SQC,1073,1102,182.0,177.0
90,2015-02-06,PK,AF,2,1,F,950,1090,196.0,178.0
91,2015-05-29,LA,AF,0,2,F,832,1099,207.0,177.0
92,2015-06-02,BD,AF,1,1,F,955,1098,195.0,177.0
93,2015-06-11,SY,AF,6,0,WQS,1519,1091,80.0,179.0
94,2015-06-16,KH,AF,0,1,WQS,736,1099,215.0,178.0
95,2015-09-03,TH,AF,2,0,F,1370,1096,119.0,179.0
96,2015-09-08,JP,AF,6,0,WQS,1727,1094,34.0,179.0
97,2015-10-08,SG,AF,1,0,WQS,1200,1084,161.0,181.0
98,2015-10-13,SY,AF,5,2,WQS,1508,1078,83.0,180.0
99,2015-11-12,AF,KH,3,0,WQS,1087,732,178.0,216.0
100,2015-12-24,AF,BD,4,0,SFF,1109,908,178.0,201.0
101,2015-12-26,AF,BT,3,0,SFF,1112,569,178.0,234.0
102,2015-12-28,AF,MV,4,1,SFF,1140,1010,174.0,187.0
103,2015-12-31,AF,LK,5,0,SFF,1149,782,173.0,211.0
104,2016-01-03,IN,AF,2,1,SFF,1087,1130,180.0,174.0
